"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 021D","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12269568字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 01F3","(2012-12-22)AAL1结构化24",""," 数量：402137088字节, 比例：35.62%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 4C7C","(2012-12-22)AAL1结构化24",""," 数量：432608256字节, 比例：38.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0232","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12223488字节, 比例：1.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0200","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：11916288字节, 比例：1.06%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0218","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12257280字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 021C","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12278784字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0228","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：14143488字节, 比例：1.25%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0234","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：11891712字节, 比例：1.05%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0233","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：9876480字节, 比例：0.87%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 020E","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12238848字节, 比例：1.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0230","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：18791424字节, 比例：1.66%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 021E","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：14214144字节, 比例：1.26%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022F","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：11860992字节, 比例：1.05%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022C","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：9965568字节, 比例：0.88%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0229","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：9996288字节, 比例：0.89%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022D","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12294144字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 020D","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12278784字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0231","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12229632字节, 比例：1.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0221","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：14189568字节, 比例：1.26%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022E","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：9904128字节, 比例：0.88%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022B","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12235776字节, 比例：1.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 021D","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12269568字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 01F3","(2012-12-22)AAL1结构化24",""," 数量：402137088字节, 比例：35.62%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 4C7C","(2012-12-22)AAL1结构化24",""," 数量：432608256字节, 比例：38.32%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0232","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12223488字节, 比例：1.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0200","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：11916288字节, 比例：1.06%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0218","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12257280字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 021C","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12278784字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0228","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：14143488字节, 比例：1.25%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0234","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：11891712字节, 比例：1.05%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0233","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：9876480字节, 比例：0.87%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 020E","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12238848字节, 比例：1.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0230","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：18791424字节, 比例：1.66%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 021E","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：14214144字节, 比例：1.26%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022F","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：11860992字节, 比例：1.05%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022C","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：9965568字节, 比例：0.88%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0229","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：9996288字节, 比例：0.89%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022D","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12294144字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 020D","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12278784字节, 比例：1.09%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0231","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12229632字节, 比例：1.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 0221","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：14189568字节, 比例：1.26%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022E","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：9904128字节, 比例：0.88%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL1数量: 47033856字节, 比例: 51.88%","0000: 022B","(2012-12-22)AAL1的单时隙(带CAS)信号承载话音类型PCM U律",""," 数量：12235776字节, 比例：1.08%","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 11","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8031604字节, 比例：0.79% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 12","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8148340字节, 比例：0.80% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 13","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8160268字节, 比例：0.80% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 14","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8132736字节, 比例：0.80% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 15","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8190952字节, 比例：0.81% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 16","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8219304字节, 比例：0.81% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 17","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7918544字节, 比例：0.78% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 18","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7894012字节, 比例：0.78% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 19","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8195164字节, 比例：0.81% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 20","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8181492字节, 比例：0.81% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 21","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7727616字节, 比例：0.76% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 22","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8199284字节, 比例：0.81% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 23","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8162040字节, 比例：0.80% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 24","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8220588字节, 比例：0.81% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 25","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8198156字节, 比例：0.81% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 26","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8231152字节, 比例：0.81% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 27","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7967080字节, 比例：0.78% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 28","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7976688字节, 比例：0.78% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 29","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8297416字节, 比例：0.82% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 30","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7817560字节, 比例：0.77% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 31","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7782008字节, 比例：0.77% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 32","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8046844字节, 比例：0.79% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 33","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7798200字节, 比例：0.77% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 0237; CID编号: 34","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7976916字节, 比例：0.78% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 09F1; CID编号: 11","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：8003020字节, 比例：0.79% ","",""
"第1个STS SPE(45M)","有效数据","AAL数量: 90651974字节, 比例: 19.01%","AAL2数量: 42346484字节, 比例: 46.71%","0000: 09F1; CID编号: 12","(2012-12-22)标准AAL2; CID承载业务G711 PCM U律","","数量：7956908字节, 比例：0.78% ","",""
